ParticipantID,SEX,ParticipantAge,PartnerNumber,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,ZSDQ1,ZSDQ2,ZSDQ3,ZSDQ4,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20,NumberChildrenExp,LHYearsLeftToLiv
217,1,28,5,5,3,4,7,6,7,6,6,7,6,7,6,5,6,5,6,6,.394169620347785,2.31345910471545,1.74956561300156,2.0219065298307,7,2,1,6,7,7,6,6,6,7,7,6,7,6,6,7,7,6,6,7,3,50
236,1,27, ,1,1,3,5,2,6,5,3,4,5,5,2,6,5,6,6,7,-.44201679969636,-1.23675486730071,.964833977758214,.504442937912773,5,4,2,6,5,7,6,4,6,6,6,5,7,6,4,6,7,5,6,6,1,2
241,1,27,1,1,1,1,6,7,5,6,4,6,5,5,5,5,4,5,5,4,-.44201679969636,.538352118707369,2.53429724824491,1.26317473387174,6,4,4,4,5,4,4,5,5,5,4,5,5,5,5,4,5,5,5,5,0,72
263,1,56,4,3,1,2,5,2,6,4,4,6,3,6,1,6,5,3,5,6,-.44201679969636,1.42590561171141,.964833977758214,1.26317473387174,6,5,3,3,5,4,6,5,3,5,5,4,5,6,3,5,3,5,3,5,2,30
272,1,29,2,2,2,2,3,5,6,6,5,5,5,2,4,3,3,5,5,6,-.44201679969636,.538352118707369,.964833977758214,-.254288858046192,5,2,2,6,5,5,4,5,6,5,5,6,6,5,6,6,7,6,5,5,1,30
275,1,29,2,2,2,0,6,7,5,3,5,6,4,3,6,7,6,5,3,5,.394169620347785,.538352118707369,.180102342514866,.504442937912773,6,1,4,3,4,5,5,4,3,5,6,5,2,5,7,5,5,3,5,6,5,2
288,1,28,3,10,15,10,1,1,5,3,1,7,1,2,1,2,3,1,3,1,-.44201679969636,-1.23675486730071,.180102342514866,-1.77175244996412,5,2,5,6,3,7,1,7,6,3,1,7,3,2,2,1,1,1,1,1,3,20
311,0,29,1,1,1,6,5,5,4,4,4,5,4,6,5,4,4,3,4,4,-1.27820321974051,-.349201374296671,.180102342514866,-1.01302065400516,6,1,3,6,5,5,4,6,6,5,6,5,4,4,6,5,3,5,6,4,2,20
313,0,33,5,16,1,2,1,2,3,4,4,5,4,4,2,4,5,5,5,6,1.23035604039193,-.349201374296671,1.74956561300156,.504442937912773,4,5,6,4,5,5,4,3,4,5,4,3,4,3,4,4,4,4,4,4,2,40
319,0,35,2,1,0,0,2,7,1,1,2,6,2,7,7,4,1,6,2,1,-.44201679969636,2.31345910471545,.964833977758214,-.254288858046192,2,3,6,5,3,6,3,6,2,7,3,6,7,3,4,3,6,2,3,2,3,50
325,0,25,3,2,3,2,6,5,4,6,7,5,4,7,5,4,6,7,4,6,-.44201679969636,-.349201374296671,.964833977758214,1.26317473387174,5,1,3,4,6,7,5,4,6,5,6,5,4,6,7,6,4,6,5,7,0,50
