ParticipantID,SEX,ParticipantAge,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20
206,1,48,1,6,1,5,1,3,4,6,5,2,3,2,2,1,2,5,3,9,1,1,1,3,6,6,7,7,7,7,1,7,6,7,6,7,7,7,5,5,5,3,5
212,1,48,1,3,1,5,1,3,1,2,6,1,6,2,1,6,6,7,4,6,3,2,2,4,5,4,4,5,6,6,6,7,6,1,5,7,7,6,5,5,5,3,1
65,0,48,1,7,1,7,1,5,3,7,4,1,4,5,2,1,1,8,1,9,7,2,4,5,7,5,7,7,6,6,2,4,6,7,7,1,1,1,1,1,1,1,1
100,0,48,1,7,1,7,1,7,4,7,6,1,7,4,2,9,9,5,9,1,7,2,7,5,6,7,6,4,1,7,7,4,7,7,1,7,7,7,5,6,6,1,4
227,1,47,3,1,4,6,5,5,4,1,7,4,7,5,2,5,6,9,9,1,4,4,5,5,5,3,4,7,6,1,1,7,6,6,5,2,1,1,7,7,7,7,2
250,1,47,1,4,4,4,4,1,1,1,1,1,1,4,3,4,3,9,9,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
252,1,47,2,2,1,3,1,4,3,5,5,1,5,1,2,9,9,8,8,2,2,2,2,6,6,6,6,5,6,5,5,4,7,7,1,5,5,5,3,6,6,1,1
291,1,47,1,1,1,7,1,5,1,1,7,1,4,1,2,7,2,1,1,9,1,1,1,5,6,7,6,7,7,1,2,2,3,7,7,1,1,1,5,5,5,1,3
348,0,47,5,4,3,4,3,2,2,2,5,2,6,2,1,1,1,1,1,9,1,1,1,5,6,6,6,7,4,7,7,7,7,7,6,6,6,7,6,6,6,6,6
339,0,47,5,4,2,4,2,6,2,4,5,2,5,6,1,2,2,7,7,2,8,4,2,3,5,3,5,3,7,5,4,4,4,3,5,7,5,5,6,3,3,2,2
190,1,46,4,2,2,6,2,2,2,2,6,2,3,2,2,2,1,9,2,3,2,2,1,4,5,6,6,5,6,7,7,7,7,7,6,6,5,5,5,5,5,6,6
193,1,46,5,6,1,6,1,2,6,6,7,3,7,4,2,3,1,4,1,9,1,1,1,6,6,7,6,3,2,7,2,7,7,1,7,7,7,7,5,4,4,5,6
64,0,46,4,4,4,4,4,4,4,4,4,4,4,4,2,5,3,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
213,1,45,1,1,1,5,1,1,1,2,4,1,4,1,2,2,8,9,7,1,7,2,1,3,6,2,3,7,6,5,7,4,5,7,3,5,5,6,5,7,6,2,1
225,1,45,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,8,5,4,2,2,3,3,3,5,4,4,4,1,1,4,7,5,4,3,1,1,1,1,2,2,2
243,1,45,1,4,4,6,1,4,4,4,7,4,7,4,2,2,9,8,8,3,2,2,1,6,5,5,5,6,5,3,1,7,7,7,2,7,5,5,5,4,4,5,6
247,1,45,1,4,1,7,1,1,1,5,7,1,7,1,2,2,2,5,1,9,1,1,1,5,6,7,7,6,7,6,5,7,7,7,7,6,6,6,7,7,7,4,4
278,1,45,5,4,3,6,3,1,4,3,5,3,5,4,2,2,4,5,3,5,5,4,3,3,5,5,5,5,3,7,1,7,6,7,4,3,3,3,6,6,6,3,5
46,0,45,1,1,1,1,1,1,1,1,6,1,6,2,2,1,1,1,1,9,1,1,1,6,6,7,6,6,6,4,6,7,7,1,7,4,6,4,4,4,5,4,4
58,0,45,2,6,1,6,1,5,1,7,7,1,7,5,2,6,6,7,3,7,6,5,7,6,5,3,5,6,5,2,1,3,5,7,6,4,3,3,5,5,5,2,1
